domain,aspect,sentiment,tweet_text
streaming services,app experience,neutral,No real complaints or praise for the app experience of this streaming services.
streaming services,ads,negative,Wish the ads on this streaming services was better.
e-commerce,refund policy,neutral,No real complaints or praise for the refund policy of this e-commerce.
smartphones,battery life,negative,The battery life totally ruined my experience with this smartphones.
restaurants,cleanliness,neutral,"Honestly, the cleanliness feels pretty average for a restaurants."
streaming services,video quality,positive,Absolutely loving the video quality of my new streaming services.
restaurants,ambience,negative,Really disappointed by the ambience in this restaurants.
e-commerce,product quality,negative,Wish the product quality on this e-commerce was better.
restaurants,service,negative,This restaurants seriously dropped the ball on service.
e-commerce,delivery time,positive,The delivery time on this e-commerce exceeded all expectations.
streaming services,app experience,negative,Really disappointed by the app experience in this streaming services.
streaming services,ads,neutral,"The streaming services's ads does the job, nothing exciting."
restaurants,service,positive,"Hands down, this is the best service I've experienced with any restaurants."
ride-sharing,route efficiency,negative,Still can't get over how bad the route efficiency is on this ride-sharing.
smartphones,battery life,negative,Wish the battery life on this smartphones was better.
restaurants,service,negative,The service totally ruined my experience with this restaurants.
e-commerce,product quality,neutral,No real complaints or praise for the product quality of this e-commerce.
e-commerce,delivery time,positive,Totally satisfied with the delivery time—solid upgrade for the e-commerce.
restaurants,cleanliness,negative,This restaurants seriously dropped the ball on cleanliness.
restaurants,price,neutral,No real complaints or praise for the price of this restaurants.
ride-sharing,route efficiency,positive,"Hands down, this is the best route efficiency I've experienced with any ride-sharing."
restaurants,price,negative,Really disappointed by the price in this restaurants.
restaurants,ambience,negative,Wish the ambience on this restaurants was better.
ride-sharing,driver behavior,neutral,No real complaints or praise for the driver behavior of this ride-sharing.
e-commerce,customer support,neutral,"The e-commerce's customer support does the job, nothing exciting."
ride-sharing,route efficiency,positive,I'm genuinely impressed with the route efficiency on this ride-sharing.
smartphones,camera,neutral,"The camera on the smartphones is okay, I guess."
smartphones,battery life,positive,"Hands down, this is the best battery life I've experienced with any smartphones."
smartphones,design,neutral,"The design on the smartphones is okay, I guess."
smartphones,performance,neutral,"The smartphones's performance does the job, nothing exciting."
e-commerce,delivery time,neutral,Not much to say about the delivery time—it's just fine.
restaurants,food quality,neutral,"The restaurants's food quality does the job, nothing exciting."
smartphones,battery life,neutral,No real complaints or praise for the battery life of this smartphones.
restaurants,service,neutral,"Honestly, the service feels pretty average for a restaurants."
e-commerce,customer support,neutral,No real complaints or praise for the customer support of this e-commerce.
smartphones,design,negative,Really disappointed by the design in this smartphones.
restaurants,service,neutral,Not much to say about the service—it's just fine.
smartphones,screen,neutral,No real complaints or praise for the screen of this smartphones.
streaming services,video quality,neutral,"The streaming services's video quality does the job, nothing exciting."
e-commerce,customer support,neutral,No real complaints or praise for the customer support of this e-commerce.
ride-sharing,route efficiency,positive,Absolutely loving the route efficiency of my new ride-sharing.
streaming services,subscription price,positive,"Hands down, this is the best subscription price I've experienced with any streaming services."
e-commerce,customer support,negative,The customer support totally ruined my experience with this e-commerce.
smartphones,design,negative,Really disappointed by the design in this smartphones.
ride-sharing,route efficiency,neutral,"The ride-sharing's route efficiency does the job, nothing exciting."
streaming services,ads,negative,Wish the ads on this streaming services was better.
e-commerce,packaging,positive,Totally satisfied with the packaging—solid upgrade for the e-commerce.
streaming services,app experience,neutral,"Honestly, the app experience feels pretty average for a streaming services."
streaming services,app experience,neutral,"Honestly, the app experience feels pretty average for a streaming services."
e-commerce,product quality,positive,Absolutely loving the product quality of my new e-commerce.
restaurants,cleanliness,positive,The cleanliness on this restaurants exceeded all expectations.
streaming services,content variety,positive,Totally satisfied with the content variety—solid upgrade for the streaming services.
streaming services,subscription price,neutral,"The streaming services's subscription price does the job, nothing exciting."
e-commerce,product quality,negative,Wish the product quality on this e-commerce was better.
streaming services,video quality,negative,Really disappointed by the video quality in this streaming services.
restaurants,service,negative,Really disappointed by the service in this restaurants.
ride-sharing,route efficiency,neutral,"The route efficiency on the ride-sharing is okay, I guess."
streaming services,subscription price,negative,Wish the subscription price on this streaming services was better.
e-commerce,customer support,negative,Wish the customer support on this e-commerce was better.
ride-sharing,route efficiency,neutral,"The ride-sharing's route efficiency does the job, nothing exciting."
ride-sharing,wait time,positive,Absolutely loving the wait time of my new ride-sharing.
restaurants,ambience,negative,Really disappointed by the ambience in this restaurants.
restaurants,ambience,negative,Wish the ambience on this restaurants was better.
restaurants,cleanliness,positive,Totally satisfied with the cleanliness—solid upgrade for the restaurants.
ride-sharing,wait time,neutral,Not much to say about the wait time—it's just fine.
smartphones,battery life,neutral,No real complaints or praise for the battery life of this smartphones.
ride-sharing,wait time,positive,I'm genuinely impressed with the wait time on this ride-sharing.
smartphones,performance,neutral,"The performance on the smartphones is okay, I guess."
streaming services,app experience,negative,Wish the app experience on this streaming services was better.
ride-sharing,route efficiency,neutral,Not much to say about the route efficiency—it's just fine.
ride-sharing,ride cost,negative,The ride cost totally ruined my experience with this ride-sharing.
restaurants,price,neutral,Not much to say about the price—it's just fine.
e-commerce,delivery time,neutral,"The delivery time on the e-commerce is okay, I guess."
smartphones,camera,negative,Wish the camera on this smartphones was better.
e-commerce,customer support,negative,Still can't get over how bad the customer support is on this e-commerce.
smartphones,battery life,positive,The battery life on this smartphones exceeded all expectations.
ride-sharing,ride cost,positive,The ride cost on this ride-sharing exceeded all expectations.
smartphones,battery life,positive,Absolutely loving the battery life of my new smartphones.
streaming services,app experience,negative,The app experience totally ruined my experience with this streaming services.
smartphones,camera,neutral,"The camera on the smartphones is okay, I guess."
ride-sharing,car cleanliness,negative,Still can't get over how bad the car cleanliness is on this ride-sharing.
ride-sharing,wait time,neutral,"The ride-sharing's wait time does the job, nothing exciting."
e-commerce,packaging,positive,"Hands down, this is the best packaging I've experienced with any e-commerce."
restaurants,service,neutral,"The restaurants's service does the job, nothing exciting."
ride-sharing,wait time,negative,Wish the wait time on this ride-sharing was better.
e-commerce,customer support,positive,I'm genuinely impressed with the customer support on this e-commerce.
smartphones,performance,neutral,Not much to say about the performance—it's just fine.
e-commerce,delivery time,negative,Still can't get over how bad the delivery time is on this e-commerce.
smartphones,design,negative,This smartphones seriously dropped the ball on design.
e-commerce,product quality,neutral,No real complaints or praise for the product quality of this e-commerce.
streaming services,ads,negative,Really disappointed by the ads in this streaming services.
restaurants,cleanliness,positive,Absolutely loving the cleanliness of my new restaurants.
e-commerce,refund policy,positive,Totally satisfied with the refund policy—solid upgrade for the e-commerce.
restaurants,food quality,neutral,"Honestly, the food quality feels pretty average for a restaurants."
smartphones,design,positive,The design on this smartphones exceeded all expectations.
e-commerce,customer support,negative,Wish the customer support on this e-commerce was better.
smartphones,camera,negative,This smartphones seriously dropped the ball on camera.
restaurants,cleanliness,positive,"Hands down, this is the best cleanliness I've experienced with any restaurants."
ride-sharing,driver behavior,neutral,"Honestly, the driver behavior feels pretty average for a ride-sharing."
ride-sharing,wait time,neutral,"The ride-sharing's wait time does the job, nothing exciting."
streaming services,app experience,neutral,"The streaming services's app experience does the job, nothing exciting."
smartphones,screen,positive,The screen on this smartphones exceeded all expectations.
smartphones,battery life,neutral,"The smartphones's battery life does the job, nothing exciting."
smartphones,camera,positive,Totally satisfied with the camera—solid upgrade for the smartphones.
restaurants,cleanliness,negative,The cleanliness totally ruined my experience with this restaurants.
smartphones,design,negative,Still can't get over how bad the design is on this smartphones.
ride-sharing,route efficiency,negative,This ride-sharing seriously dropped the ball on route efficiency.
restaurants,service,positive,Totally satisfied with the service—solid upgrade for the restaurants.
restaurants,cleanliness,positive,Totally satisfied with the cleanliness—solid upgrade for the restaurants.
restaurants,food quality,positive,I'm genuinely impressed with the food quality on this restaurants.
restaurants,service,neutral,Not much to say about the service—it's just fine.
smartphones,screen,positive,The screen on this smartphones exceeded all expectations.
ride-sharing,driver behavior,negative,Still can't get over how bad the driver behavior is on this ride-sharing.
e-commerce,product quality,negative,Wish the product quality on this e-commerce was better.
e-commerce,packaging,negative,This e-commerce seriously dropped the ball on packaging.
streaming services,video quality,positive,"Hands down, this is the best video quality I've experienced with any streaming services."
smartphones,screen,negative,Wish the screen on this smartphones was better.
restaurants,cleanliness,positive,Absolutely loving the cleanliness of my new restaurants.
e-commerce,packaging,negative,The packaging totally ruined my experience with this e-commerce.
e-commerce,packaging,negative,Still can't get over how bad the packaging is on this e-commerce.
smartphones,design,positive,The design on this smartphones exceeded all expectations.
e-commerce,product quality,neutral,"Honestly, the product quality feels pretty average for a e-commerce."
e-commerce,delivery time,negative,Wish the delivery time on this e-commerce was better.
restaurants,food quality,negative,The food quality totally ruined my experience with this restaurants.
ride-sharing,route efficiency,positive,Absolutely loving the route efficiency of my new ride-sharing.
streaming services,app experience,positive,Absolutely loving the app experience of my new streaming services.
smartphones,screen,negative,Still can't get over how bad the screen is on this smartphones.
e-commerce,delivery time,neutral,"The e-commerce's delivery time does the job, nothing exciting."
ride-sharing,driver behavior,positive,I'm genuinely impressed with the driver behavior on this ride-sharing.
smartphones,design,neutral,"The smartphones's design does the job, nothing exciting."
ride-sharing,wait time,positive,Absolutely loving the wait time of my new ride-sharing.
ride-sharing,car cleanliness,negative,The car cleanliness totally ruined my experience with this ride-sharing.
smartphones,camera,positive,"Hands down, this is the best camera I've experienced with any smartphones."
e-commerce,packaging,negative,Really disappointed by the packaging in this e-commerce.
ride-sharing,car cleanliness,negative,This ride-sharing seriously dropped the ball on car cleanliness.
smartphones,performance,neutral,"The performance on the smartphones is okay, I guess."
e-commerce,delivery time,negative,Really disappointed by the delivery time in this e-commerce.
streaming services,app experience,negative,Still can't get over how bad the app experience is on this streaming services.
smartphones,camera,neutral,"The camera on the smartphones is okay, I guess."
e-commerce,packaging,negative,The packaging totally ruined my experience with this e-commerce.
smartphones,performance,neutral,"The performance on the smartphones is okay, I guess."
ride-sharing,ride cost,negative,Really disappointed by the ride cost in this ride-sharing.
restaurants,ambience,positive,I'm genuinely impressed with the ambience on this restaurants.
smartphones,battery life,positive,Totally satisfied with the battery life—solid upgrade for the smartphones.
e-commerce,delivery time,negative,The delivery time totally ruined my experience with this e-commerce.
smartphones,design,negative,This smartphones seriously dropped the ball on design.
streaming services,ads,neutral,"Honestly, the ads feels pretty average for a streaming services."
ride-sharing,wait time,neutral,"The wait time on the ride-sharing is okay, I guess."
e-commerce,product quality,positive,Totally satisfied with the product quality—solid upgrade for the e-commerce.
restaurants,cleanliness,negative,Still can't get over how bad the cleanliness is on this restaurants.
restaurants,cleanliness,neutral,No real complaints or praise for the cleanliness of this restaurants.
e-commerce,customer support,negative,Wish the customer support on this e-commerce was better.
ride-sharing,wait time,neutral,"Honestly, the wait time feels pretty average for a ride-sharing."
e-commerce,packaging,positive,Totally satisfied with the packaging—solid upgrade for the e-commerce.
ride-sharing,car cleanliness,neutral,"The car cleanliness on the ride-sharing is okay, I guess."
restaurants,price,neutral,"The price on the restaurants is okay, I guess."
restaurants,ambience,negative,Really disappointed by the ambience in this restaurants.
e-commerce,product quality,negative,This e-commerce seriously dropped the ball on product quality.
smartphones,design,positive,I'm genuinely impressed with the design on this smartphones.
smartphones,camera,positive,I'm genuinely impressed with the camera on this smartphones.
restaurants,service,neutral,"The restaurants's service does the job, nothing exciting."
streaming services,video quality,negative,Still can't get over how bad the video quality is on this streaming services.
smartphones,performance,neutral,"The smartphones's performance does the job, nothing exciting."
restaurants,food quality,positive,"Hands down, this is the best food quality I've experienced with any restaurants."
ride-sharing,wait time,negative,Still can't get over how bad the wait time is on this ride-sharing.
e-commerce,delivery time,negative,Still can't get over how bad the delivery time is on this e-commerce.
ride-sharing,wait time,negative,Still can't get over how bad the wait time is on this ride-sharing.
ride-sharing,car cleanliness,negative,Still can't get over how bad the car cleanliness is on this ride-sharing.
ride-sharing,route efficiency,positive,Totally satisfied with the route efficiency—solid upgrade for the ride-sharing.
streaming services,content variety,neutral,"Honestly, the content variety feels pretty average for a streaming services."
restaurants,service,neutral,"The restaurants's service does the job, nothing exciting."
restaurants,cleanliness,negative,Really disappointed by the cleanliness in this restaurants.
smartphones,battery life,negative,Still can't get over how bad the battery life is on this smartphones.
e-commerce,product quality,neutral,"Honestly, the product quality feels pretty average for a e-commerce."
streaming services,ads,positive,Absolutely loving the ads of my new streaming services.
streaming services,ads,neutral,Not much to say about the ads—it's just fine.
smartphones,camera,positive,Totally satisfied with the camera—solid upgrade for the smartphones.
streaming services,content variety,neutral,No real complaints or praise for the content variety of this streaming services.
streaming services,app experience,neutral,"The app experience on the streaming services is okay, I guess."
e-commerce,delivery time,neutral,"Honestly, the delivery time feels pretty average for a e-commerce."
ride-sharing,wait time,negative,This ride-sharing seriously dropped the ball on wait time.
ride-sharing,route efficiency,positive,"Hands down, this is the best route efficiency I've experienced with any ride-sharing."
streaming services,content variety,neutral,"The streaming services's content variety does the job, nothing exciting."
restaurants,price,positive,The price on this restaurants exceeded all expectations.
e-commerce,product quality,positive,I'm genuinely impressed with the product quality on this e-commerce.
streaming services,app experience,negative,This streaming services seriously dropped the ball on app experience.
ride-sharing,route efficiency,neutral,No real complaints or praise for the route efficiency of this ride-sharing.
smartphones,battery life,positive,The battery life on this smartphones exceeded all expectations.
ride-sharing,wait time,negative,The wait time totally ruined my experience with this ride-sharing.
restaurants,service,positive,Totally satisfied with the service—solid upgrade for the restaurants.
streaming services,content variety,neutral,Not much to say about the content variety—it's just fine.
smartphones,battery life,negative,Really disappointed by the battery life in this smartphones.
restaurants,service,positive,The service on this restaurants exceeded all expectations.
restaurants,service,negative,Still can't get over how bad the service is on this restaurants.
streaming services,video quality,neutral,"The video quality on the streaming services is okay, I guess."
streaming services,subscription price,negative,The subscription price totally ruined my experience with this streaming services.
e-commerce,packaging,neutral,No real complaints or praise for the packaging of this e-commerce.
e-commerce,packaging,positive,Absolutely loving the packaging of my new e-commerce.
ride-sharing,driver behavior,negative,This ride-sharing seriously dropped the ball on driver behavior.
e-commerce,packaging,positive,The packaging on this e-commerce exceeded all expectations.
restaurants,service,negative,Really disappointed by the service in this restaurants.
smartphones,battery life,neutral,"The smartphones's battery life does the job, nothing exciting."
smartphones,battery life,negative,The battery life totally ruined my experience with this smartphones.
smartphones,performance,neutral,Not much to say about the performance—it's just fine.
e-commerce,customer support,positive,The customer support on this e-commerce exceeded all expectations.
streaming services,content variety,neutral,"The streaming services's content variety does the job, nothing exciting."
ride-sharing,driver behavior,positive,"Hands down, this is the best driver behavior I've experienced with any ride-sharing."
ride-sharing,driver behavior,negative,Wish the driver behavior on this ride-sharing was better.
e-commerce,packaging,neutral,"The packaging on the e-commerce is okay, I guess."
smartphones,camera,negative,This smartphones seriously dropped the ball on camera.
ride-sharing,driver behavior,positive,I'm genuinely impressed with the driver behavior on this ride-sharing.
smartphones,screen,positive,I'm genuinely impressed with the screen on this smartphones.
streaming services,subscription price,positive,The subscription price on this streaming services exceeded all expectations.
e-commerce,delivery time,negative,The delivery time totally ruined my experience with this e-commerce.
e-commerce,packaging,positive,The packaging on this e-commerce exceeded all expectations.
restaurants,food quality,negative,Really disappointed by the food quality in this restaurants.
e-commerce,refund policy,negative,This e-commerce seriously dropped the ball on refund policy.
streaming services,content variety,positive,Absolutely loving the content variety of my new streaming services.
streaming services,subscription price,negative,Still can't get over how bad the subscription price is on this streaming services.
ride-sharing,ride cost,positive,I'm genuinely impressed with the ride cost on this ride-sharing.
ride-sharing,route efficiency,positive,I'm genuinely impressed with the route efficiency on this ride-sharing.
e-commerce,refund policy,neutral,Not much to say about the refund policy—it's just fine.
restaurants,ambience,neutral,Not much to say about the ambience—it's just fine.
smartphones,performance,positive,The performance on this smartphones exceeded all expectations.
restaurants,cleanliness,positive,I'm genuinely impressed with the cleanliness on this restaurants.
streaming services,ads,negative,Wish the ads on this streaming services was better.
streaming services,content variety,neutral,"Honestly, the content variety feels pretty average for a streaming services."
ride-sharing,driver behavior,positive,"Hands down, this is the best driver behavior I've experienced with any ride-sharing."
e-commerce,product quality,negative,Still can't get over how bad the product quality is on this e-commerce.
streaming services,content variety,neutral,"The content variety on the streaming services is okay, I guess."
e-commerce,customer support,positive,I'm genuinely impressed with the customer support on this e-commerce.
streaming services,app experience,positive,The app experience on this streaming services exceeded all expectations.
streaming services,video quality,neutral,Not much to say about the video quality—it's just fine.
e-commerce,product quality,negative,Wish the product quality on this e-commerce was better.
e-commerce,delivery time,neutral,No real complaints or praise for the delivery time of this e-commerce.
e-commerce,packaging,positive,The packaging on this e-commerce exceeded all expectations.
restaurants,ambience,negative,Really disappointed by the ambience in this restaurants.
ride-sharing,ride cost,neutral,Not much to say about the ride cost—it's just fine.
restaurants,cleanliness,positive,"Hands down, this is the best cleanliness I've experienced with any restaurants."
streaming services,ads,neutral,"Honestly, the ads feels pretty average for a streaming services."
streaming services,app experience,neutral,"Honestly, the app experience feels pretty average for a streaming services."
ride-sharing,ride cost,neutral,Not much to say about the ride cost—it's just fine.
streaming services,ads,negative,Really disappointed by the ads in this streaming services.
ride-sharing,car cleanliness,neutral,No real complaints or praise for the car cleanliness of this ride-sharing.
ride-sharing,route efficiency,neutral,"The route efficiency on the ride-sharing is okay, I guess."
restaurants,cleanliness,negative,Really disappointed by the cleanliness in this restaurants.
smartphones,camera,neutral,No real complaints or praise for the camera of this smartphones.
smartphones,camera,negative,This smartphones seriously dropped the ball on camera.
ride-sharing,route efficiency,negative,Still can't get over how bad the route efficiency is on this ride-sharing.
restaurants,food quality,neutral,"Honestly, the food quality feels pretty average for a restaurants."
streaming services,ads,neutral,Not much to say about the ads—it's just fine.
restaurants,price,neutral,"Honestly, the price feels pretty average for a restaurants."
streaming services,app experience,neutral,"The streaming services's app experience does the job, nothing exciting."
smartphones,screen,positive,The screen on this smartphones exceeded all expectations.
smartphones,camera,negative,This smartphones seriously dropped the ball on camera.
ride-sharing,wait time,positive,I'm genuinely impressed with the wait time on this ride-sharing.
restaurants,food quality,neutral,"The restaurants's food quality does the job, nothing exciting."
restaurants,cleanliness,negative,Really disappointed by the cleanliness in this restaurants.
e-commerce,packaging,neutral,Not much to say about the packaging—it's just fine.
restaurants,price,neutral,Not much to say about the price—it's just fine.
ride-sharing,driver behavior,negative,Still can't get over how bad the driver behavior is on this ride-sharing.
e-commerce,customer support,neutral,"The e-commerce's customer support does the job, nothing exciting."
streaming services,ads,positive,Totally satisfied with the ads—solid upgrade for the streaming services.
restaurants,food quality,neutral,No real complaints or praise for the food quality of this restaurants.
ride-sharing,driver behavior,negative,Really disappointed by the driver behavior in this ride-sharing.
ride-sharing,route efficiency,positive,The route efficiency on this ride-sharing exceeded all expectations.
restaurants,food quality,neutral,"The restaurants's food quality does the job, nothing exciting."
e-commerce,packaging,positive,"Hands down, this is the best packaging I've experienced with any e-commerce."
ride-sharing,car cleanliness,positive,"Hands down, this is the best car cleanliness I've experienced with any ride-sharing."
smartphones,performance,positive,Absolutely loving the performance of my new smartphones.
smartphones,performance,negative,This smartphones seriously dropped the ball on performance.
ride-sharing,ride cost,negative,The ride cost totally ruined my experience with this ride-sharing.
restaurants,ambience,negative,The ambience totally ruined my experience with this restaurants.
smartphones,performance,negative,This smartphones seriously dropped the ball on performance.
smartphones,design,positive,"Hands down, this is the best design I've experienced with any smartphones."
e-commerce,packaging,negative,This e-commerce seriously dropped the ball on packaging.
ride-sharing,driver behavior,neutral,"The ride-sharing's driver behavior does the job, nothing exciting."
e-commerce,delivery time,negative,Still can't get over how bad the delivery time is on this e-commerce.
e-commerce,delivery time,positive,The delivery time on this e-commerce exceeded all expectations.
e-commerce,refund policy,positive,Totally satisfied with the refund policy—solid upgrade for the e-commerce.
streaming services,content variety,negative,Really disappointed by the content variety in this streaming services.
smartphones,camera,positive,"Hands down, this is the best camera I've experienced with any smartphones."
smartphones,camera,neutral,No real complaints or praise for the camera of this smartphones.
smartphones,performance,negative,Still can't get over how bad the performance is on this smartphones.
smartphones,camera,neutral,No real complaints or praise for the camera of this smartphones.
streaming services,video quality,positive,Totally satisfied with the video quality—solid upgrade for the streaming services.
streaming services,content variety,positive,"Hands down, this is the best content variety I've experienced with any streaming services."
streaming services,content variety,neutral,"The content variety on the streaming services is okay, I guess."
ride-sharing,wait time,negative,Wish the wait time on this ride-sharing was better.
ride-sharing,driver behavior,neutral,"The driver behavior on the ride-sharing is okay, I guess."
restaurants,ambience,positive,I'm genuinely impressed with the ambience on this restaurants.
streaming services,content variety,positive,Absolutely loving the content variety of my new streaming services.
streaming services,ads,positive,"Hands down, this is the best ads I've experienced with any streaming services."
ride-sharing,ride cost,neutral,"Honestly, the ride cost feels pretty average for a ride-sharing."
restaurants,cleanliness,neutral,"Honestly, the cleanliness feels pretty average for a restaurants."
smartphones,battery life,positive,The battery life on this smartphones exceeded all expectations.
ride-sharing,ride cost,negative,Really disappointed by the ride cost in this ride-sharing.
streaming services,video quality,positive,I'm genuinely impressed with the video quality on this streaming services.
smartphones,performance,positive,Totally satisfied with the performance—solid upgrade for the smartphones.
streaming services,video quality,neutral,Not much to say about the video quality—it's just fine.
e-commerce,customer support,neutral,"The e-commerce's customer support does the job, nothing exciting."
streaming services,video quality,negative,Really disappointed by the video quality in this streaming services.
restaurants,service,negative,The service totally ruined my experience with this restaurants.
smartphones,screen,positive,The screen on this smartphones exceeded all expectations.
e-commerce,refund policy,neutral,"The refund policy on the e-commerce is okay, I guess."
restaurants,service,negative,This restaurants seriously dropped the ball on service.
e-commerce,product quality,negative,Wish the product quality on this e-commerce was better.
smartphones,screen,negative,Wish the screen on this smartphones was better.
smartphones,performance,positive,"Hands down, this is the best performance I've experienced with any smartphones."
restaurants,ambience,neutral,Not much to say about the ambience—it's just fine.
smartphones,performance,positive,Totally satisfied with the performance—solid upgrade for the smartphones.
smartphones,performance,negative,Still can't get over how bad the performance is on this smartphones.
streaming services,ads,positive,I'm genuinely impressed with the ads on this streaming services.
smartphones,camera,positive,The camera on this smartphones exceeded all expectations.
e-commerce,customer support,neutral,Not much to say about the customer support—it's just fine.
ride-sharing,ride cost,negative,The ride cost totally ruined my experience with this ride-sharing.
restaurants,cleanliness,negative,Really disappointed by the cleanliness in this restaurants.
smartphones,screen,neutral,No real complaints or praise for the screen of this smartphones.
ride-sharing,car cleanliness,positive,I'm genuinely impressed with the car cleanliness on this ride-sharing.
restaurants,food quality,negative,Really disappointed by the food quality in this restaurants.
ride-sharing,car cleanliness,positive,The car cleanliness on this ride-sharing exceeded all expectations.
ride-sharing,route efficiency,negative,Still can't get over how bad the route efficiency is on this ride-sharing.
restaurants,service,negative,Still can't get over how bad the service is on this restaurants.
streaming services,video quality,positive,Absolutely loving the video quality of my new streaming services.
ride-sharing,driver behavior,neutral,No real complaints or praise for the driver behavior of this ride-sharing.
smartphones,design,negative,Really disappointed by the design in this smartphones.
ride-sharing,car cleanliness,negative,The car cleanliness totally ruined my experience with this ride-sharing.
smartphones,camera,negative,Wish the camera on this smartphones was better.
ride-sharing,route efficiency,neutral,No real complaints or praise for the route efficiency of this ride-sharing.
ride-sharing,wait time,neutral,Not much to say about the wait time—it's just fine.
streaming services,app experience,neutral,Not much to say about the app experience—it's just fine.
e-commerce,packaging,neutral,Not much to say about the packaging—it's just fine.
smartphones,battery life,positive,Absolutely loving the battery life of my new smartphones.
ride-sharing,car cleanliness,positive,I'm genuinely impressed with the car cleanliness on this ride-sharing.
streaming services,content variety,neutral,No real complaints or praise for the content variety of this streaming services.
e-commerce,packaging,positive,Absolutely loving the packaging of my new e-commerce.
e-commerce,refund policy,positive,The refund policy on this e-commerce exceeded all expectations.
streaming services,ads,positive,I'm genuinely impressed with the ads on this streaming services.
ride-sharing,driver behavior,positive,The driver behavior on this ride-sharing exceeded all expectations.
e-commerce,delivery time,neutral,"The e-commerce's delivery time does the job, nothing exciting."
restaurants,cleanliness,negative,Wish the cleanliness on this restaurants was better.
e-commerce,customer support,positive,"Hands down, this is the best customer support I've experienced with any e-commerce."
restaurants,food quality,positive,I'm genuinely impressed with the food quality on this restaurants.
smartphones,performance,positive,Totally satisfied with the performance—solid upgrade for the smartphones.
restaurants,ambience,neutral,"The restaurants's ambience does the job, nothing exciting."
smartphones,performance,negative,The performance totally ruined my experience with this smartphones.
streaming services,video quality,positive,Totally satisfied with the video quality—solid upgrade for the streaming services.
restaurants,cleanliness,neutral,Not much to say about the cleanliness—it's just fine.
ride-sharing,wait time,positive,"Hands down, this is the best wait time I've experienced with any ride-sharing."
e-commerce,customer support,neutral,Not much to say about the customer support—it's just fine.
smartphones,battery life,negative,This smartphones seriously dropped the ball on battery life.
e-commerce,packaging,negative,Wish the packaging on this e-commerce was better.
restaurants,cleanliness,neutral,"The restaurants's cleanliness does the job, nothing exciting."
streaming services,ads,negative,This streaming services seriously dropped the ball on ads.
ride-sharing,driver behavior,neutral,"The ride-sharing's driver behavior does the job, nothing exciting."
streaming services,ads,positive,Absolutely loving the ads of my new streaming services.
e-commerce,product quality,neutral,"The product quality on the e-commerce is okay, I guess."
restaurants,price,positive,Absolutely loving the price of my new restaurants.
e-commerce,customer support,negative,Wish the customer support on this e-commerce was better.
restaurants,cleanliness,positive,"Hands down, this is the best cleanliness I've experienced with any restaurants."
restaurants,price,positive,The price on this restaurants exceeded all expectations.
restaurants,service,positive,I'm genuinely impressed with the service on this restaurants.
restaurants,food quality,neutral,No real complaints or praise for the food quality of this restaurants.
ride-sharing,driver behavior,positive,The driver behavior on this ride-sharing exceeded all expectations.
ride-sharing,car cleanliness,positive,The car cleanliness on this ride-sharing exceeded all expectations.
e-commerce,refund policy,negative,Still can't get over how bad the refund policy is on this e-commerce.
ride-sharing,route efficiency,negative,Wish the route efficiency on this ride-sharing was better.
restaurants,cleanliness,negative,The cleanliness totally ruined my experience with this restaurants.
smartphones,screen,positive,"Hands down, this is the best screen I've experienced with any smartphones."
streaming services,video quality,positive,I'm genuinely impressed with the video quality on this streaming services.
streaming services,video quality,positive,"Hands down, this is the best video quality I've experienced with any streaming services."
ride-sharing,ride cost,positive,I'm genuinely impressed with the ride cost on this ride-sharing.
streaming services,content variety,positive,Totally satisfied with the content variety—solid upgrade for the streaming services.
e-commerce,customer support,neutral,No real complaints or praise for the customer support of this e-commerce.
smartphones,design,positive,Totally satisfied with the design—solid upgrade for the smartphones.
streaming services,content variety,positive,Absolutely loving the content variety of my new streaming services.
e-commerce,packaging,negative,This e-commerce seriously dropped the ball on packaging.
e-commerce,customer support,positive,I'm genuinely impressed with the customer support on this e-commerce.
streaming services,ads,positive,"Hands down, this is the best ads I've experienced with any streaming services."
streaming services,ads,neutral,"The streaming services's ads does the job, nothing exciting."
streaming services,ads,positive,"Hands down, this is the best ads I've experienced with any streaming services."
ride-sharing,driver behavior,negative,This ride-sharing seriously dropped the ball on driver behavior.
ride-sharing,ride cost,neutral,"The ride cost on the ride-sharing is okay, I guess."
ride-sharing,car cleanliness,positive,Totally satisfied with the car cleanliness—solid upgrade for the ride-sharing.
smartphones,camera,neutral,No real complaints or praise for the camera of this smartphones.
e-commerce,delivery time,positive,The delivery time on this e-commerce exceeded all expectations.
smartphones,screen,neutral,"The smartphones's screen does the job, nothing exciting."
streaming services,video quality,neutral,"The video quality on the streaming services is okay, I guess."
smartphones,design,positive,"Hands down, this is the best design I've experienced with any smartphones."
streaming services,content variety,positive,I'm genuinely impressed with the content variety on this streaming services.
e-commerce,delivery time,positive,"Hands down, this is the best delivery time I've experienced with any e-commerce."
ride-sharing,car cleanliness,positive,Totally satisfied with the car cleanliness—solid upgrade for the ride-sharing.
e-commerce,customer support,positive,"Hands down, this is the best customer support I've experienced with any e-commerce."
ride-sharing,wait time,positive,I'm genuinely impressed with the wait time on this ride-sharing.
streaming services,content variety,negative,Still can't get over how bad the content variety is on this streaming services.
streaming services,app experience,positive,Totally satisfied with the app experience—solid upgrade for the streaming services.
streaming services,video quality,positive,Absolutely loving the video quality of my new streaming services.
smartphones,design,negative,The design totally ruined my experience with this smartphones.
